"filename", "language", "JavaScript", "CSS", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\danny\Coding\projects\dannygcordobap\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\About\About.jsx", "JavaScript React", 0, 0, 0, 37, 0, 1, 38
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\App\App.jsx", "JavaScript React", 0, 0, 0, 19, 1, 2, 22
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Card.jsx", "JavaScript React", 0, 0, 0, 40, 0, 4, 44
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Experience\Experience.jsx", "JavaScript React", 0, 0, 0, 54, 0, 2, 56
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Experience\ExperienceItem.jsx", "JavaScript React", 0, 0, 0, 27, 0, 3, 30
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Footer\Footer.jsx", "JavaScript React", 0, 0, 0, 33, 0, 5, 38
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Footer\FooterItem.jsx", "JavaScript React", 0, 0, 0, 13, 0, 1, 14
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Header\Header.jsx", "JavaScript React", 0, 0, 0, 13, 0, 2, 15
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Hobbies\Hobbies.jsx", "JavaScript React", 0, 0, 0, 54, 0, 1, 55
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Hobbies\HobbyItem.jsx", "JavaScript React", 0, 0, 0, 24, 0, 3, 27
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\Icon.jsx", "JavaScript React", 0, 0, 0, 8, 0, 1, 9
"c:\Users\danny\Coding\projects\dannygcordobap\src\components\ImageCarousel.jsx", "JavaScript React", 0, 0, 0, 13, 0, 2, 15
"c:\Users\danny\Coding\projects\dannygcordobap\src\index.js", "JavaScript", 12, 0, 0, 0, 3, 3, 18
"c:\Users\danny\Coding\projects\dannygcordobap\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\danny\Coding\projects\dannygcordobap\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\icons\check.svg", "XML", 0, 0, 11, 0, 1, 1, 13
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\icons\copy.svg", "XML", 0, 0, 11, 0, 1, 1, 13
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\App.css", "CSS", 0, 8, 0, 0, 0, 1, 9
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\Card.css", "CSS", 0, 15, 0, 0, 0, 3, 18
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\Experience.css", "CSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\Footer.css", "CSS", 0, 22, 0, 0, 0, 6, 28
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\Header.css", "CSS", 0, 8, 0, 0, 0, 1, 9
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\Icon.css", "CSS", 0, 5, 0, 0, 0, 0, 5
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\ImageCarousel.css", "CSS", 0, 16, 0, 0, 0, 3, 19
"c:\Users\danny\Coding\projects\dannygcordobap\src\resources\styles\index.css", "CSS", 0, 24, 0, 0, 0, 6, 30
"c:\Users\danny\Coding\projects\dannygcordobap\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 4, 1, 6
"Total", "-", 32, 101, 23, 335, 10, 57, 558